Pipeline,Completness,Resolution
i1(5I),64.46,"3.8	(150)"
i1(5I),0.65,"3.8	(150)"
i1(5I),26.76,"3.4	(150)"
i1(5I),71.91,"3.4	(150)"
i1(5I),98.4,"3.2	(150)"
i1(5I),100,"2.0 - 3.1	(81)"
i1(5I),83.52,"3.6	(150)"
i1(5I),0.25,"4.0	(150)"
i1(5I),3.21,"4.0	(150)"
i1(5I),95.3,"2.0 - 3.1	(81)"
i1(5I),3.61,"4.0	(150)"
i1(5I),43.16,"3.4	(150)"
i1(5I),90.96,"2.0 - 3.1	(81)"
i1(5I),98.68,"1.0 - 1.9	(67)"
i1(5I),10.73,"3.8	(150)"
i1(5I),69.72,"3.2	(150)"
i1(5I),50.25,"3.8	(150)"
i1(5I),0.71,"4.0	(150)"
i1(5I),86.59,"3.2	(150)"
i1(5I),78.52,"3.6	(150)"
i1(5I),88.79,"3.4	(150)"
i1(5I),44.4,"3.4	(150)"
i1(5I),24.35,"3.8	(150)"
i1(5I),98.06,"2.0 - 3.1	(81)"
i1(5I),71.96,"3.6	(150)"
i1(5I),68.28,"3.2	(150)"
i1(5I),87.39,"3.4	(150)"
i1(5I),4.65,"4.0	(150)"
i1(5I),77.69,"2.0 - 3.1	(81)"
i1(5I),39.06,"3.8	(150)"
i1(5I),64.81,"3.6	(150)"
i1(5I),59.85,"3.6	(150)"
i1(5I),8.94,"3.8	(150)"
i1(5I),53.13,"3.8	(150)"
i1(5I),55.81,"3.2	(150)"
i1(5I),73.95,"3.4	(150)"
i1(5I),27.52,"3.6	(150)"
i1(5I),66.8,"2.0 - 3.1	(81)"
i1(5I),51.44,"3.2	(150)"
i1(5I),7.95,"2.0 - 3.1	(81)"
i1(5I),27.94,"3.8	(150)"
i1(5I),20.74,"4.0	(150)"
i1(5I),98.71,"1.0 - 1.9	(67)"
i1(5I),40.3,"3.8	(150)"
i1(5I),42.56,"4.0	(150)"
i1(5I),47.46,"3.4	(150)"
i1(5I),27.69,"3.8	(150)"
i1(5I),64.54,"3.8	(150)"
i1(5I),33.58,"3.4	(150)"
i1(5I),56.5,"3.2	(150)"
i1(5I),27.53,"3.6	(150)"
i1(5I),95.73,"2.0 - 3.1	(81)"
i1(5I),0,"4.0	(150)"
i1(5I),6.18,"3.2	(150)"
i1(5I),0.8,"3.6	(150)"
i1(5I),84.71,"3.6	(150)"
i1(5I),44.03,"4.0	(150)"
i1(5I),61.23,"3.6	(150)"
i1(5I),78.57,"3.8	(150)"
i1(5I),81.57,"3.4	(150)"
i1(5I),35.09,"1.0 - 1.9	(67)"
i1(5I),22.29,"4.0	(150)"
i1(5I),0,"3.8	(150)"
i1(5I),30.57,"4.0	(150)"
i1(5I),94.81,"2.0 - 3.1	(81)"
i1(5I),32.53,"3.8	(150)"
i1(5I),44.87,"3.4	(150)"
i1(5I),64,"3.4	(150)"
i1(5I),21.6,"3.8	(150)"
i1(5I),0,"3.6	(150)"
i1(5I),55.64,"3.4	(150)"
i1(5I),55.45,"3.8	(150)"
i1(5I),16.89,"4.0	(150)"
i1(5I),62.75,"3.6	(150)"
i1(5I),68.95,"3.8	(150)"
i1(5I),0.76,"3.4	(150)"
i1(5I),29.46,"3.8	(150)"
i1(5I),85.96,"3.2	(150)"
i1(5I),94.49,"3.2	(150)"
i1(5I),96.85,"3.4	(150)"
i1(5I),33.1,"4.0	(150)"
i1(5I),91.14,"3.4	(150)"
i1(5I),38.76,"3.8	(150)"
i1(5I),52.02,"3.2	(150)"
i1(5I),0.9,"4.0	(150)"
i1(5I),7.81,"3.8	(150)"
i1(5I),40.63,"4.0	(150)"
i1(5I),16.21,"3.2	(150)"
i1(5I),29.82,"4.0	(150)"
i1(5I),55.4,"3.4	(150)"
i1(5I),81.53,"3.4	(150)"
i1(5I),39.11,"4.0	(150)"
i1(5I),68.31,"3.4	(150)"
i1(5I),23.81,"4.0	(150)"
i1(5I),77.03,"3.2	(150)"
i1(5I),31.8,"4.0	(150)"
i1(5I),77.27,"3.8	(150)"
i1(5I),16.39,"3.8	(150)"
i1(5I),54.66,"3.2	(150)"
i1(5I),52.85,"3.2	(150)"
i1(5I),13.78,"3.8	(150)"
i1(5I),95.56,"1.0 - 1.9	(67)"
i1(5I),95.48,"1.0 - 1.9	(67)"
i1(5I),26.61,"3.6	(150)"
i1(5I),6.76,"4.0	(150)"
i1(5I),66.25,"3.6	(150)"
i1(5I),95.89,"3.4	(150)"
i1(5I),82.73,"3.2	(150)"
i1(5I),67.64,"3.2	(150)"
i1(5I),0.19,"3.8	(150)"
i1(5I),56.2,"3.8	(150)"
i1(5I),11.81,"4.0	(150)"
i1(5I),26.25,"3.6	(150)"
i1(5I),19.76,"3.8	(150)"
i1(5I),64.24,"3.6	(150)"
i1(5I),93.24,"3.2	(150)"
i1(5I),96.31,"1.0 - 1.9	(67)"
i1(5I),69.57,"3.6	(150)"
i1(5I),49.28,"3.6	(150)"
i1(5I),0,"3.4	(150)"
i1(5I),86.5,"2.0 - 3.1	(81)"
i1(5I),28.22,"3.4	(150)"
i1(5I),95.58,"2.0 - 3.1	(81)"
i1(5I),93.6,"2.0 - 3.1	(81)"
i1(5I),37.34,"3.8	(150)"
i1(5I),44.62,"3.4	(150)"
i1(5I),2.06,"4.0	(150)"
i1(5I),55.31,"3.8	(150)"
i1(5I),16.07,"4.0	(150)"
i1(5I),9.4,"3.4	(150)"
i1(5I),68.28,"4.0	(150)"
i1(5I),3.35,"4.0	(150)"
i1(5I),40.35,"3.6	(150)"
i1(5I),69.25,"3.8	(150)"
i1(5I),0,"2.0 - 3.1	(81)"
i1(5I),82.66,"3.6	(150)"
i1(5I),24.28,"3.6	(150)"
i1(5I),1.51,"3.6	(150)"
i1(5I),82.17,"3.2	(150)"
i1(5I),87.9,"3.2	(150)"
i1(5I),33.56,"3.8	(150)"
i1(5I),97.73,"3.2	(150)"
i1(5I),78.04,"3.2	(150)"
i1(5I),94.44,"1.0 - 1.9	(67)"
i1(5I),70,"3.6	(150)"
i1(5I),16.8,"3.6	(150)"
i1(5I),21.62,"3.2	(150)"
i1(5I),29.78,"4.0	(150)"
i1(5I),87.73,"2.0 - 3.1	(81)"
i1(5I),53.58,"3.8	(150)"
i1(5I),0.6,"4.0	(150)"
i1(5I),2.31,"3.8	(150)"
i1(5I),99.2,"2.0 - 3.1	(81)"
i1(5I),0.56,"4.0	(150)"
i1(5I),3.84,"3.4	(150)"
i1(5I),21.33,"4.0	(150)"
i1(5I),75.86,"3.2	(150)"
i1(5I),12.5,"4.0	(150)"
i1(5I),43.34,"3.8	(150)"
i1(5I),93.44,"3.4	(150)"
i1(5I),3.7,"3.6	(150)"
i1(5I),45.9,"3.8	(150)"
i1(5I),23.56,"4.0	(150)"
i1(5I),100,"1.0 - 1.9	(67)"
i1(5I),3.52,"3.8	(150)"
i1(5I),89.54,"3.2	(150)"
i1(5I),5.5,"4.0	(150)"
i1(5I),95.45,"3.4	(150)"
i1(5I),52.08,"3.4	(150)"
i1(5I),5.08,"3.4	(150)"
i1(5I),94.93,"2.0 - 3.1	(81)"
i1(5I),32.01,"3.6	(150)"
i1(5I),36.52,"3.8	(150)"
i1(5I),57.14,"4.0	(150)"
i1(5I),88.34,"3.4	(150)"
i1(5I),70.9,"3.2	(150)"
i1(5I),61.12,"2.0 - 3.1	(81)"
i1(5I),24.43,"4.0	(150)"
i1(5I),36.26,"3.6	(150)"
i1(5I),57.97,"3.8	(150)"
i1(5I),28.23,"3.4	(150)"
i1(5I),59.43,"3.6	(150)"
i1(5I),67.9,"3.6	(150)"
i1(5I),62.9,"3.4	(150)"
i1(5I),88.68,"3.2	(150)"
i1(5I),52.51,"3.4	(150)"
i1(5I),80.86,"3.4	(150)"
i1(5I),90.96,"2.0 - 3.1	(81)"
i1(5I),40.13,"4.0	(150)"
i1(5I),27.53,"3.6	(150)"
i1(5I),11.52,"3.2	(150)"
i1(5I),94.09,"3.2	(150)"
i1(5I),1.39,"4.0	(150)"
i1(5I),11.3,"3.6	(150)"
i1(5I),5.74,"4.0	(150)"
i1(5I),5.09,"3.8	(150)"
i1(5I),3.03,"4.0	(150)"
i1(5I),91.22,"3.2	(150)"
i1(5I),41.88,"3.8	(150)"
i1(5I),59.31,"3.6	(150)"
i1(5I),45.41,"3.6	(150)"
i1(5I),0.41,"4.0	(150)"
i1(5I),18.7,"3.4	(150)"
i1(5I),76.98,"3.8	(150)"
i1(5I),23.48,"3.2	(150)"
i1(5I),35.69,"3.4	(150)"
i1(5I),10.21,"3.8	(150)"
i1(5I),2.19,"3.4	(150)"
i1(5I),2.01,"4.0	(150)"
i1(5I),57.51,"3.6	(150)"
i1(5I),88.33,"3.2	(150)"
i1(5I),85.39,"3.2	(150)"
i1(5I),15.59,"3.8	(150)"
i1(5I),53.88,"3.6	(150)"
i1(5I),74.39,"3.2	(150)"
i1(5I),93.07,"3.4	(150)"
i1(5I),84,"3.8	(150)"
i1(5I),75.76,"3.4	(150)"
i1(5I),84.14,"3.4	(150)"
i1(5I),12.27,"4.0	(150)"
i1(5I),89.17,"1.0 - 1.9	(67)"
i1(5I),32.02,"3.6	(150)"
i1(5I),21.47,"3.6	(150)"
i1(5I),93.92,"2.0 - 3.1	(81)"
i1(5I),10.64,"3.8	(150)"
i1(5I),78.91,"3.2	(150)"
i1(5I),70.14,"3.2	(150)"
i1(5I),6.12,"4.0	(150)"
i1(5I),98.07,"1.0 - 1.9	(67)"
i1(5I),0,"3.4	(150)"
i1(5I),2.26,"3.8	(150)"
i1(5I),20.93,"4.0	(150)"
i1(5I),54.5,"4.0	(150)"
i1(5I),96.35,"3.2	(150)"
i1(5I),75.64,"3.4	(150)"
i1(5I),37.91,"3.4	(150)"
i1(5I),43.93,"3.6	(150)"
i1(5I),3.26,"3.4	(150)"
i1(5I),1.72,"4.0	(150)"
i1(5I),93.42,"1.0 - 1.9	(67)"
i1(5I),9.91,"4.0	(150)"
i1(5I),20.07,"3.6	(150)"
i1(5I),44.89,"3.8	(150)"
i1(5I),39.74,"2.0 - 3.1	(81)"
i1(5I),60.42,"3.2	(150)"
i1(5I),84.51,"3.2	(150)"
i1(5I),63.71,"3.6	(150)"
i1(5I),76.37,"3.4	(150)"
i1(5I),5.9,"4.0	(150)"
i1(5I),14.91,"3.4	(150)"
i1(5I),95.31,"2.0 - 3.1	(81)"
i1(5I),98.96,"1.0 - 1.9	(67)"
i1(5I),85.91,"3.4	(150)"
i1(5I),45.58,"3.6	(150)"
i1(5I),72.85,"2.0 - 3.1	(81)"
i1(5I),95.25,"1.0 - 1.9	(67)"
i1(5I),41.78,"3.8	(150)"
i1(5I),90.48,"3.4	(150)"
i1(5I),9.18,"3.8	(150)"
i1(5I),96.8,"3.4	(150)"
i1(5I),85.61,"2.0 - 3.1	(81)"
i1(5I),78.28,"2.0 - 3.1	(81)"
i1(5I),0,"3.4	(150)"
i1(5I),89.33,"2.0 - 3.1	(81)"
i1(5I),37.36,"3.6	(150)"
i1(5I),48.22,"3.8	(150)"
i1(5I),94.35,"2.0 - 3.1	(81)"
i1(5I),84.8,"3.2	(150)"
i1(5I),20.06,"3.8	(150)"
i1(5I),11.69,"4.0	(150)"
i1(5I),8.06,"4.0	(150)"
i1(5I),98.21,"1.0 - 1.9	(67)"
i1(5I),40.91,"3.4	(150)"
i1(5I),76.26,"4.0	(150)"
i1(5I),47.63,"3.6	(150)"
i1(5I),15.34,"4.0	(150)"
i1(5I),49.83,"3.2	(150)"
i1(5I),73.87,"2.0 - 3.1	(81)"
i1(5I),90.12,"3.2	(150)"
i1(5I),85.52,"3.4	(150)"
i1(5I),95.89,"3.2	(150)"
i1(5I),35.66,"3.4	(150)"
i1(5I),83.45,"3.2	(150)"
i1(5I),85.32,"3.2	(150)"
i1(5I),36.56,"4.0	(150)"
i1(5I),73.38,"3.8	(150)"
i1(5I),92.66,"1.0 - 1.9	(67)"
i1(5I),98.66,"1.0 - 1.9	(67)"
i1(5I),7.07,"3.6	(150)"
i1(5I),7.91,"4.0	(150)"
i1(5I),64.71,"3.2	(150)"
i1(5I),10.27,"3.4	(150)"
i1(5I),48.33,"4.0	(150)"
i1(5I),25.18,"3.2	(150)"
i1(5I),29.67,"3.6	(150)"
i1(5I),62.71,"3.6	(150)"
i1(5I),82.98,"2.0 - 3.1	(81)"
i1(5I),40.52,"3.8	(150)"
i1(5I),38.29,"3.6	(150)"
i1(5I),60.37,"4.0	(150)"
i1(5I),0,"4.0	(150)"
i1(5I),32.21,"3.6	(150)"
i1(5I),80.25,"3.4	(150)"
i1(5I),96.17,"3.2	(150)"
i1(5I),96.6,"1.0 - 1.9	(67)"
i1(5I),87.12,"3.6	(150)"
i1(5I),12.29,"3.8	(150)"
i1(5I),43.95,"1.0 - 1.9	(67)"
i1(5I),42.34,"4.0	(150)"
i1(5I),35.21,"3.8	(150)"
i1(5I),2.26,"3.8	(150)"
i1(5I),96.55,"2.0 - 3.1	(81)"
i1(5I),64.6,"3.4	(150)"
i1(5I),73.43,"3.4	(150)"
i1(5I),4.53,"3.6	(150)"
i1(5I),71.81,"4.0	(150)"
i1(5I),0.31,"4.0	(150)"
i1(5I),64.48,"3.4	(150)"
i1(5I),2.12,"3.8	(150)"
i1(5I),76.17,"3.2	(150)"
i1(5I),88.52,"3.2	(150)"
i1(5I),58.45,"3.2	(150)"
i1(5I),74.31,"3.2	(150)"
i1(5I),1.23,"3.4	(150)"
i1(5I),1.06,"3.4	(150)"
i1(5I),35.17,"3.2	(150)"
i1(5I),98.24,"2.0 - 3.1	(81)"
i1(5I),89.42,"3.6	(150)"
i1(5I),77.52,"3.6	(150)"
i1(5I),79.46,"3.4	(150)"
i1(5I),46,"3.4	(150)"
i1(5I),88.59,"1.0 - 1.9	(67)"
i1(5I),0,"3.8	(150)"
i1(5I),87.05,"3.4	(150)"
i1(5I),23.71,"3.8	(150)"
i1(5I),82.69,"3.4	(150)"
i1(5I),74.1,"3.4	(150)"
i1(5I),35.26,"4.0	(150)"
i1(5I),7.81,"3.8	(150)"
i1(5I),67.54,"3.6	(150)"
i1(5I),56.87,"3.2	(150)"
i1(5I),25.18,"2.0 - 3.1	(81)"
i1(5I),19.43,"3.8	(150)"
i1(5I),97.71,"1.0 - 1.9	(67)"
i1(5I),51.3,"2.0 - 3.1	(81)"
i1(5I),96.27,"2.0 - 3.1	(81)"
i1(5I),13.94,"2.0 - 3.1	(81)"
i1(5I),36.21,"4.0	(150)"
i1(5I),97.05,"1.0 - 1.9	(67)"
i1(5I),95.99,"1.0 - 1.9	(67)"
i1(5I),35.94,"4.0	(150)"
i1(5I),99.33,"1.0 - 1.9	(67)"
i1(5I),85.71,"3.6	(150)"
i1(5I),0.68,"3.6	(150)"
i1(5I),77.66,"3.2	(150)"
i1(5I),85.39,"1.0 - 1.9	(67)"
i1(5I),99.55,"1.0 - 1.9	(67)"
i1(5I),2.43,"3.8	(150)"
i1(5I),100,"1.0 - 1.9	(67)"
i1(5I),89.81,"3.2	(150)"
i1(5I),72.19,"3.2	(150)"
i1(5I),75.18,"3.2	(150)"
i1(5I),10.05,"3.8	(150)"
i1(5I),34.46,"4.0	(150)"
i1(5I),0,"4.0	(150)"
i1(5I),93.54,"2.0 - 3.1	(81)"
i1(5I),9.67,"4.0	(150)"
i1(5I),79.11,"3.2	(150)"
i1(5I),65.06,"3.2	(150)"
i1(5I),85.4,"1.0 - 1.9	(67)"
i1(5I),93.07,"2.0 - 3.1	(81)"
i1(5I),72.32,"3.8	(150)"
i1(5I),43.44,"2.0 - 3.1	(81)"
i1(5I),21.56,"4.0	(150)"
i1(5I),98.83,"1.0 - 1.9	(67)"
i1(5I),0,"1.0 - 1.9	(67)"
i1(5I),79.07,"3.4	(150)"
i1(5I),0,"3.6	(150)"
i1(5I),0.64,"4.0	(150)"
i1(5I),38.18,"3.4	(150)"
i1(5I),10.76,"4.0	(150)"
i1(5I),65.89,"3.2	(150)"
i1(5I),45.72,"3.6	(150)"
i1(5I),46.53,"3.4	(150)"
i1(5I),13.6,"3.4	(150)"
i1(5I),70.07,"3.2	(150)"
i1(5I),74.06,"3.4	(150)"
i1(5I),72.17,"3.2	(150)"
i1(5I),88.59,"3.2	(150)"
i1(5I),79.1,"2.0 - 3.1	(81)"
i1(5I),90.36,"2.0 - 3.1	(81)"
i1(5I),6.58,"3.6	(150)"
i1(5I),72.25,"3.8	(150)"
i1(5I),46.6,"3.8	(150)"
i1(5I),21.48,"3.8	(150)"
i1(5I),92.08,"3.4	(150)"
i1(5I),92.11,"1.0 - 1.9	(67)"
i1(5I),96.65,"1.0 - 1.9	(67)"
i1(5I),3.19,"4.0	(150)"
i1(5I),78.47,"3.2	(150)"
i1(5I),68.15,"3.6	(150)"
i1(5I),25.79,"3.2	(150)"
i1(5I),15.61,"3.4	(150)"
i1(5I),7.51,"4.0	(150)"
i1(5I),56.03,"3.4	(150)"
i1(5I),31.84,"3.8	(150)"
i1(5I),4.16,"3.6	(150)"
i1(5I),3.11,"3.6	(150)"
i1(5I),57.98,"3.6	(150)"
i1(5I),0.25,"3.8	(150)"
i1(5I),63.44,"3.8	(150)"
i1(5I),57.03,"3.6	(150)"
i1(5I),0.51,"4.0	(150)"
i1(5I),71.3,"3.2	(150)"
i1(5I),79.26,"3.6	(150)"
i1(5I),78.4,"2.0 - 3.1	(81)"
i1(5I),92.98,"3.4	(150)"
i1(5I),97.92,"1.0 - 1.9	(67)"
i1(5I),80.47,"2.0 - 3.1	(81)"
i1(5I),0,"3.6	(150)"
i1(5I),54.95,"3.8	(150)"
i1(5I),35.9,"3.6	(150)"
i1(5I),24.06,"4.0	(150)"
i1(5I),97.92,"2.0 - 3.1	(81)"
i1(5I),22.04,"4.0	(150)"
i1(5I),94.64,"3.4	(150)"
i1(5I),87.5,"3.6	(150)"
i1(5I),49.93,"3.6	(150)"
i1(5I),22.51,"3.6	(150)"
i1(5I),21.52,"2.0 - 3.1	(81)"
i1(5I),95.34,"3.2	(150)"
i1(5I),96.26,"2.0 - 3.1	(81)"
i1(5I),5.11,"4.0	(150)"
i1(5I),97.02,"2.0 - 3.1	(81)"
i1(5I),84.43,"2.0 - 3.1	(81)"
i1(5I),29.07,"3.6	(150)"
i1(5I),74.01,"3.6	(150)"
i1(5I),14.97,"3.2	(150)"
i1(5I),0,"1.0 - 1.9	(67)"
i1(5I),1.46,"3.8	(150)"
i1(5I),76.54,"3.8	(150)"
i1(5I),0.79,"3.8	(150)"
i1(5I),88.89,"3.2	(150)"
i1(5I),2.9,"4.0	(150)"
i1(5I),99.42,"1.0 - 1.9	(67)"
i1(5I),63.11,"3.6	(150)"
i1(5I),50.74,"3.4	(150)"
i1(5I),83.15,"3.4	(150)"
i1(5I),6.15,"3.4	(150)"
i1(5I),90.4,"3.6	(150)"
i1(5I),73.52,"3.2	(150)"
i1(5I),1.3,"3.2	(150)"
i1(5I),87.43,"3.4	(150)"
i1(5I),91.21,"3.2	(150)"
i1(5I),38.21,"3.6	(150)"
i1(5I),57.75,"4.0	(150)"
i1(5I),78.96,"3.6	(150)"
i1(5I),2.19,"4.0	(150)"
i1(5I),7.41,"3.2	(150)"
i1(5I),98.46,"1.0 - 1.9	(67)"
i1(5I),98.15,"1.0 - 1.9	(67)"
i1(5I),83.56,"3.8	(150)"
i1(5I),95.54,"3.2	(150)"
i1(5I),40.38,"4.0	(150)"
i1(5I),7.43,"4.0	(150)"
i1(5I),56.25,"3.4	(150)"
i1(5I),0.88,"3.2	(150)"
i1(5I),30.98,"3.8	(150)"
i1(5I),80.32,"3.8	(150)"
i1(5I),100,"3.2	(150)"
i1(5I),0.44,"3.8	(150)"
i1(5I),96.55,"1.0 - 1.9	(67)"
i1(5I),86.17,"3.2	(150)"
i1(5I),17.61,"3.8	(150)"
i1(5I),47.21,"3.8	(150)"
i1(5I),99.11,"1.0 - 1.9	(67)"
i1(5I),82.32,"3.4	(150)"
i1(5I),92.82,"3.6	(150)"
i1(5I),77.27,"3.8	(150)"
i1(5I),0.39,"4.0	(150)"
i1(5I),84.08,"3.4	(150)"
i1(5I),23.77,"3.4	(150)"
i1(5I),48.48,"3.8	(150)"
i1(5I),74.06,"3.2	(150)"
i1(5I),53.9,"3.6	(150)"
i1(5I),81.72,"3.4	(150)"
i1(5I),94.19,"3.4	(150)"
i1(5I),88.65,"2.0 - 3.1	(81)"
i1(5I),42.46,"3.2	(150)"
i1(5I),30.07,"3.4	(150)"
i1(5I),83.5,"3.2	(150)"
i1(5I),74.47,"3.6	(150)"
i1(5I),0.39,"3.4	(150)"
i1(5I),81.31,"3.2	(150)"
i1(5I),0.88,"3.4	(150)"
i1(5I),3.31,"3.2	(150)"
i1(5I),0.44,"3.2	(150)"
i1(5I),86.96,"3.2	(150)"
i1(5I),0.39,"3.6	(150)"
i1(5I),42.09,"3.4	(150)"
i1(5I),81.33,"3.2	(150)"
i1(5I),79.1,"3.6	(150)"
i1(5I),65.99,"3.8	(150)"
i1(5I),57.82,"2.0 - 3.1	(81)"
i1(5I),95.32,"3.2	(150)"
i1(5I),6.27,"3.8	(150)"
i1(5I),0.75,"3.6	(150)"
i1(5I),75.97,"2.0 - 3.1	(81)"
i1(5I),29.33,"3.8	(150)"
i1(5I),71.56,"3.4	(150)"
i1(5I),97.73,"1.0 - 1.9	(67)"
i1(5I),2.31,"4.0	(150)"
i1(5I),78.74,"3.6	(150)"
i1(5I),88.33,"3.4	(150)"
i1(5I),91.27,"2.0 - 3.1	(81)"
i1(5I),0,"3.8	(150)"
i1(5I),82.73,"3.4	(150)"
i1(5I),17.73,"3.4	(150)"
i1(5I),76.55,"3.2	(150)"
i1(5I),60.89,"3.2	(150)"
i1(5I),71.88,"2.0 - 3.1	(81)"
i1(5I),0.93,"4.0	(150)"
i1(5I),74.32,"3.2	(150)"
i1(5I),0,"3.8	(150)"
i1(5I),76.19,"3.8	(150)"
i1(5I),0.41,"4.0	(150)"
i1(5I),94.32,"2.0 - 3.1	(81)"
i1(5I),9.22,"3.8	(150)"
i1(5I),78.98,"3.6	(150)"
i1(5I),87.2,"1.0 - 1.9	(67)"
i1(5I),18.55,"2.0 - 3.1	(81)"
i1(5I),2.76,"3.2	(150)"
i1(5I),92.52,"3.2	(150)"
i1(5I),52.79,"3.6	(150)"
i1(5I),58.66,"3.4	(150)"
i1(5I),83.33,"3.2	(150)"
i1(5I),83.36,"3.2	(150)"
i1(5I),66.43,"3.6	(150)"
i1(5I),13.13,"4.0	(150)"
i1(5I),96.09,"2.0 - 3.1	(81)"
i1(5I),98.62,"3.2	(150)"
i1(5I),76.16,"3.4	(150)"
i1(5I),96.35,"2.0 - 3.1	(81)"
i1(5I),49.48,"3.4	(150)"
i1(5I),84.14,"3.4	(150)"
i1(5I),11.62,"3.4	(150)"
i1(5I),90.91,"1.0 - 1.9	(67)"
i1(5I),23.26,"3.8	(150)"
i1(5I),83.04,"3.2	(150)"
i1(5I),32.38,"3.6	(150)"
i1(5I),1.62,"3.6	(150)"
i1(5I),39.93,"3.8	(150)"
i1(5I),63.61,"3.2	(150)"
i1(5I),69.43,"3.8	(150)"
i1(5I),1.76,"4.0	(150)"
i1(5I),19.15,"3.8	(150)"
i1(5I),16.67,"3.6	(150)"
i1(5I),26.75,"4.0	(150)"
i1(5I),14.86,"3.8	(150)"
i1(5I),85.15,"3.4	(150)"
i1(5I),75.71,"3.2	(150)"
i1(5I),54.76,"3.2	(150)"
i1(5I),100,"1.0 - 1.9	(67)"
i1(5I),60.44,"4.0	(150)"
i1(5I),91.39,"3.4	(150)"
i1(5I),88.31,"3.2	(150)"
i1(5I),77.71,"3.2	(150)"
i1(5I),2.27,"4.0	(150)"
i1(5I),15.74,"3.4	(150)"
i1(5I),66.67,"3.8	(150)"
i1(5I),80.86,"3.4	(150)"
i1(5I),0.82,"3.8	(150)"
i1(5I),90.85,"3.2	(150)"
i1(5I),39.22,"3.8	(150)"
i1(5I),1.59,"3.2	(150)"
i1(5I),100,"1.0 - 1.9	(67)"
i1(5I),88.05,"2.0 - 3.1	(81)"
i1(5I),2.41,"3.8	(150)"
i1(5I),14.17,"3.8	(150)"
i1(5I),28.26,"3.8	(150)"
i1(5I),26.78,"4.0	(150)"
i1(5I),95.6,"3.4	(150)"
i1(5I),64.78,"3.6	(150)"
i1(5I),68.14,"3.2	(150)"
i1(5I),73.44,"3.2	(150)"
i1(5I),18.32,"4.0	(150)"
i1(5I),4.09,"3.6	(150)"
i1(5I),0,"3.8	(150)"
i1(5I),69.31,"3.2	(150)"
i1(5I),97.75,"1.0 - 1.9	(67)"
i1(5I),96.09,"1.0 - 1.9	(67)"
i1(5I),45.24,"3.4	(150)"
i1(5I),78.06,"3.4	(150)"
i1(5I),12.06,"3.8	(150)"
i1(5I),0,"4.0	(150)"
i1(5I),3.67,"4.0	(150)"
i1(5I),93.79,"3.6	(150)"
i1(5I),53.71,"3.8	(150)"
i1(5I),78.85,"3.2	(150)"
i1(5I),3.9,"4.0	(150)"
i1(5I),69.17,"4.0	(150)"
i1(5I),34.02,"4.0	(150)"
i1(5I),54.88,"3.6	(150)"
i1(5I),2.48,"3.8	(150)"
i1(5I),6.35,"4.0	(150)"
i1(5I),31.58,"4.0	(150)"
i1(5I),0.75,"4.0	(150)"
i1(5I),84.26,"3.4	(150)"
i1(5I),30.94,"4.0	(150)"
i1(5I),94.35,"1.0 - 1.9	(67)"
i1(5I),0,"4.0	(150)"
i1(5I),93.61,"1.0 - 1.9	(67)"
i1(5I),59.45,"3.8	(150)"
i1(5I),39.73,"3.6	(150)"
i1(5I),72.86,"2.0 - 3.1	(81)"
i1(5I),34.38,"3.8	(150)"
i1(5I),83.58,"3.6	(150)"
i1(5I),80.76,"3.2	(150)"
i1(5I),47.73,"3.6	(150)"
i1(5I),68.32,"3.4	(150)"
i1(5I),72.15,"3.2	(150)"
i1(5I),44.51,"3.6	(150)"
ARP,0,"3.4	(150)"
ARP,0,"3.4	(150)"
ARP,1.16,"3.2	(150)"
ARP,0.79,"3.4	(150)"
ARP,0.55,"3.4	(150)"
ARP,0.52,"3.6	(150)"
ARP,0.66,"4.0	(150)"
ARP,0.45,"3.4	(150)"
ARP,0.66,"3.8	(150)"
ARP,0,"3.8	(150)"
ARP,0,"3.8	(150)"
ARP,0,"3.6	(150)"
ARP,0,"3.8	(150)"
ARP,97.94,"1.0 - 1.9	(67)"
ARP,1.1,"3.4	(150)"
ARP,0.56,"3.4	(150)"
ARP,0.8,"4.0	(150)"
ARP,0.67,"3.4	(150)"
ARP,0.16,"4.0	(150)"
ARP,97.82,"2.0 - 3.1	(81)"
ARP,0,"3.8	(150)"
ARP,0.19,"3.6	(150)"
ARP,5.04,"3.6	(150)"
ARP,1.34,"3.4	(150)"
ARP,98.45,"1.0 - 1.9	(67)"
ARP,0,"4.0	(150)"
ARP,0.33,"4.0	(150)"
ARP,0.71,"3.6	(150)"
ARP,0.56,"3.2	(150)"
ARP,10.92,"1.0 - 1.9	(67)"
ARP,1.15,"3.2	(150)"
ARP,0,"3.4	(150)"
ARP,90.11,"2.0 - 3.1	(81)"
ARP,1.35,"3.8	(150)"
ARP,87.86,"1.0 - 1.9	(67)"
ARP,0,"3.6	(150)"
ARP,16.39,"3.4	(150)"
ARP,1.48,"3.4	(150)"
ARP,0.84,"3.6	(150)"
ARP,97.67,"1.0 - 1.9	(67)"
ARP,93.05,"1.0 - 1.9	(67)"
ARP,96.78,"2.0 - 3.1	(81)"
ARP,0.19,"3.2	(150)"
ARP,0,"3.6	(150)"
ARP,0.27,"3.8	(150)"
ARP,0,"3.2	(150)"
ARP,0.39,"4.0	(150)"
ARP,0.52,"3.4	(150)"
ARP,0.9,"3.6	(150)"
ARP,9.62,"2.0 - 3.1	(81)"
ARP,0,"3.4	(150)"
ARP,1.27,"3.8	(150)"
